STATION_ID,STATION_NAME,ADA,RED,BLUE,GREEN,BROWN,PURPLE,PURPLE_EXP,YELLOW,PINK,ORANGE,LOCATION,LATITUDE,LONGITUDE,geometry
40010,Austin (Blue Line),False,False,True,False,False,False,False,False,False,False,"(41.870851, -87.776812)",41.870851,-87.776812,POINT (-87.776812 41.870851)
40020,Harlem/Lake (Green Line),True,False,False,True,False,False,False,False,False,False,"(41.886848, -87.803176)",41.886848,-87.803176,POINT (-87.803176 41.886848)
40030,Pulaski (Green Line),True,False,False,True,False,False,False,False,False,False,"(41.885412, -87.725404)",41.885412,-87.725404,POINT (-87.725404 41.885412)
40040,"Quincy/Wells (Brown, Orange, Purple & Pink lines)",True,False,False,False,True,False,True,False,True,True,"(41.878723, -87.63374)",41.878723,-87.63374,POINT (-87.63374 41.878723)
40050,Davis (Purple Line),True,False,False,False,False,True,True,False,False,False,"(42.04771, -87.683543)",42.04771,-87.683543,POINT (-87.683543 42.04771)
40060,Belmont (Blue Line),False,False,True,False,False,False,False,False,False,False,"(41.938132, -87.712359)",41.938132,-87.712359,POINT (-87.712359 41.938132)
40070,Jackson (Blue Line),True,False,True,False,False,False,False,False,False,False,"(41.878183, -87.629296)",41.878183,-87.629296,POINT (-87.629296 41.878183)
40080,Sheridan (Red Line),False,True,False,False,False,False,False,False,False,False,"(41.953775, -87.654929)",41.953775,-87.654929,POINT (-87.654929 41.953775)
40090,Damen (Brown Line),True,False,False,False,True,False,False,False,False,False,"(41.966286, -87.678639)",41.966286,-87.678639,POINT (-87.678639 41.966286)
40100,Morse (Red Line),False,True,False,False,False,False,False,False,False,False,"(42.008362, -87.665909)",42.008362,-87.665909,POINT (-87.665909 42.008362)
40120,35th/Archer (Orange Line),True,False,False,False,False,False,False,False,False,True,"(41.829353, -87.680622)",41.829353,-87.680622,POINT (-87.680622 41.829353)
40130,51st (Green Line),True,False,False,True,False,False,False,False,False,False,"(41.80209, -87.618487)",41.80209,-87.618487,POINT (-87.618487 41.80209)
40140,Dempster-Skokie  (Yellow Line),True,False,False,False,False,False,False,True,False,False,"(42.038951, -87.751919)",42.038951,-87.751919,POINT (-87.751919 42.038951)
40150,Pulaski (Pink Line),True,False,False,False,False,False,False,False,True,False,"(41.853732, -87.724311)",41.853732,-87.724311,POINT (-87.724311 41.853732)
40160,"LaSalle/Van Buren (Brown, Orange, Purple & Pink lines)",False,False,False,False,True,False,True,False,True,True,"(41.8768, -87.631739)",41.8768,-87.631739,POINT (-87.631739 41.8768)
40170,Ashland (Green & Pink lines),True,False,False,True,False,False,False,False,True,False,"(41.885269, -87.666969)",41.885269,-87.666969,POINT (-87.666969 41.885269)
40180,Oak Park (Blue Line),False,False,True,False,False,False,False,False,False,False,"(41.872108, -87.791602)",41.872108,-87.791602,POINT (-87.791602 41.872108)
