year,month,avg_temp
2005,Dec,23.3
2006,Dec,33.8
2007,Dec,27.8
2008,Dec,22.9
2009,Dec,26.5
2010,Dec,22.5
2011,Dec,35.2
2012,Dec,36.1
2013,Dec,23.3
2014,Dec,32.0
2015,Dec,39.0
2016,Dec,25.0
2017,Dec,27.2
2018,Dec,33.2
2019,Dec,34.0
2020,Dec,32.8
2021,Dec,38.0
2022,Dec,
